ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,LONGITUDE,LATITUDE,ALT,Dim,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,SAT8,SAT9,SAT10,SAT11,SAT12,PDOP,HDOP,TEMP,ACTIVITY,TIMEON
d16241y2011,2011,5,1,19,3,4,-97.2595565,34.01412494,254,3,3,7,8,13,28,0,0,0,0,0,0,0,2.8,1.3,20.25,89,64
d16241y2011,2011,5,1,19,32,37,-97.26007634,34.01343165,247,3,7,8,13,19,28,0,0,0,0,0,0,0,3.6,1.4,18.44,537,37
d16241y2011,2011,5,1,20,2,40,-97.26046842,34.01252464,254,3,7,8,11,13,17,19,24,28,0,0,0,0,2.2,1,18.81,315,40
d16241y2011,2011,5,1,20,32,40,-97.26086618,34.01261323,250,3,7,8,11,13,17,24,26,28,0,0,0,0,2.1,1.2,18.25,373,40
d16241y2011,2011,5,1,21,2,41,-97.2607798,34.01254798,244,3,7,8,11,17,24,26,0,0,0,0,0,0,3.6,1.7,20.38,357,41
d16241y2011,2011,5,1,21,32,37,-97.26078958,34.01254632,247,3,4,8,11,17,24,26,28,0,0,0,0,0,2,1.2,21.13,1,37
d16241y2011,2011,5,1,22,2,39,-97.26081131,34.01254302,248,3,4,7,8,15,17,24,26,28,0,0,0,0,1.7,0.9,21.75,0,39
d16241y2011,2011,5,1,22,32,45,-97.26077885,34.01259486,260,3,4,7,8,15,24,26,0,0,0,0,0,0,2.6,1,21.88,0,45
d16241y2011,2011,5,1,23,2,40,-97.26093219,34.01272147,246,3,2,4,8,9,17,27,28,0,0,0,0,0,2.7,1.5,19.19,265,40
d16241y2011,2011,5,1,23,32,40,-97.26115624,34.01267324,258,3,2,4,9,17,27,28,0,0,0,0,0,0,3.5,1.4,18.25,160,40
d16241y2011,2011,5,2,0,2,41,-97.26112298,34.01271154,252,3,2,4,9,27,28,0,0,0,0,0,0,0,3.5,1.9,17.81,272,41
d16241y2011,2011,5,2,0,32,36,-97.26113829,34.01275684,249,3,2,4,9,10,12,27,28,0,0,0,0,0,2.3,1.3,21,28,36
d16241y2011,2011,5,2,1,2,36,-97.26116686,34.01273651,256,3,2,4,9,10,12,27,0,0,0,0,0,0,3.3,1.5,22.38,0,36
d16241y2011,2011,5,2,1,32,41,-97.26115826,34.01273368,249,3,2,4,10,12,25,0,0,0,0,0,0,0,3.1,2.2,22.25,0,41
d16241y2011,2011,5,2,2,2,41,-97.26118627,34.01274039,254,3,2,4,9,10,12,25,29,0,0,0,0,0,2.1,1.3,22.69,0,41
d16241y2011,2011,5,2,2,32,40,-97.26112486,34.01272509,251,3,2,5,12,25,29,0,0,0,0,0,0,0,4,2.6,22.31,0,40
d16241y2011,2011,5,2,3,2,37,-97.26101966,34.01268032,251,3,2,4,5,10,12,25,29,0,0,0,0,0,3.1,1.7,17.56,318,37
d16241y2011,2011,5,2,3,33,8,-97.26112173,34.01271964,249,3,2,5,12,25,29,0,0,0,0,0,0,0,5.9,2,19.5,154,68
d16241y2011,2011,5,2,4,2,37,-97.26093167,34.0124816,247,3,2,5,12,15,25,26,29,0,0,0,0,0,3.2,1.4,16.94,442,37
d16241y2011,2011,5,2,4,32,36,-97.26125843,34.01238793,260,3,2,5,10,12,15,25,26,29,0,0,0,0,2,1,17.19,421,36
d16241y2011,2011,5,2,5,2,37,-97.26157303,34.01262502,256,3,2,5,12,15,21,25,26,29,0,0,0,0,2,1,17.5,173,37
d16241y2011,2011,5,2,5,32,40,-97.26147797,34.01272017,248,3,15,21,25,26,29,30,0,0,0,0,0,0,2.4,1.4,18.25,40,40
d16241y2011,2011,5,2,6,2,47,-97.26177126,34.01262152,253,3,15,21,26,29,30,0,0,0,0,0,0,0,3.3,1.9,17.13,135,47
d16241y2011,2011,5,2,6,33,5,-97.26135512,34.01263817,253,3,15,21,22,26,29,0,0,0,0,0,0,0,2.8,1.5,15.38,559,65
d16241y2011,2011,5,2,7,2,46,-97.26049879,34.01437994,242,3,15,21,22,26,29,0,0,0,0,0,0,0,2.5,1.3,16.88,596,46
d16241y2011,2011,5,2,7,32,42,-97.25743214,34.01512192,248,3,15,21,26,27,29,0,0,0,0,0,0,0,2.8,1.9,14.38,1166,42
d16241y2011,2011,5,2,8,2,58,-97.25759212,34.01450019,252,3,14,15,21,22,29,0,0,0,0,0,0,0,2.7,1.4,15.94,1222,58
d16241y2011,2011,5,2,8,32,41,-97.25762643,34.01451691,246,3,14,15,21,22,0,0,0,0,0,0,0,0,3.7,1.6,18.06,0,41
d16241y2011,2011,5,2,9,2,40,-97.25756678,34.01446827,248,3,6,9,14,21,22,27,0,0,0,0,0,0,3.2,1.4,19.38,0,40
d16241y2011,2011,5,2,9,32,50,-97.2574963,34.01362505,248,3,6,9,14,21,22,0,0,0,0,0,0,0,2.8,1.4,16.06,1340,50
d16241y2011,2011,5,2,10,3,3,-97.25783791,34.01360014,254,3,9,14,19,22,31,0,0,0,0,0,0,0,2.1,1.3,15,1334,63
d16241y2011,2011,5,2,10,33,4,-97.25775512,34.01378292,253,3,11,14,22,31,0,0,0,0,0,0,0,0,5,3.5,20.13,0,64
d16241y2011,2011,5,2,11,3,1,-97.25901132,34.01409648,247,3,11,14,22,25,31,0,0,0,0,0,0,0,2.2,1.4,16.56,1069,61
d16241y2011,2011,5,2,11,33,11,-97.26014051,34.01400155,246,3,14,22,25,31,0,0,0,0,0,0,0,0,5.7,2.8,16.25,980,71
d16241y2011,2011,5,2,12,2,37,-97.26102867,34.01303483,248,3,11,12,14,22,24,25,31,32,0,0,0,0,2.4,1.3,16,1124,37
d16241y2011,2011,5,2,12,32,37,-97.26134036,34.01261813,250,3,14,22,24,25,30,31,32,0,0,0,0,0,2.4,1,18.63,615,37
d16241y2011,2011,5,2,13,2,40,-97.26133143,34.01263153,249,3,14,20,22,24,25,30,31,32,0,0,0,0,2.1,0.9,22.56,0,40
d16241y2011,2011,5,2,13,32,37,-97.26133869,34.01227545,252,3,14,16,20,23,24,25,30,31,32,0,0,0,1.7,0.8,20.06,359,37
d16241y2011,2011,5,2,14,2,36,-97.26111314,34.01138856,252,3,16,20,23,24,30,31,32,0,0,0,0,0,2.7,1.3,18.63,1114,36
d16241y2011,2011,5,2,14,32,37,-97.26092994,34.01134539,252,3,16,20,23,24,30,31,32,0,0,0,0,0,2.1,1.2,17.63,782,37
d16241y2011,2011,5,2,15,2,36,-97.26096484,34.01133326,260,3,13,16,20,23,30,31,32,0,0,0,0,0,2.9,1.5,21.69,45,36
d16241y2011,2011,5,2,15,32,40,-97.26095642,34.01132142,252,3,3,7,13,16,20,23,30,32,0,0,0,0,2,1.1,23,0,40
d16241y2011,2011,5,2,16,2,36,-97.26094212,34.01133203,250,3,3,6,7,13,19,20,23,32,0,0,0,0,2.2,1.2,24,0,36
d16241y2011,2011,5,2,16,32,36,-97.26089326,34.01144496,249,3,3,6,7,10,13,16,19,20,23,30,0,0,1.7,0.8,22.25,475,36
d16241y2011,2011,5,2,17,2,36,-97.2608582,34.011412,247,3,3,6,7,10,13,16,23,0,0,0,0,0,3.2,1.9,24.25,203,36
d16241y2011,2011,5,2,17,32,40,-97.2608486,34.01140465,255,3,3,6,7,8,13,16,19,23,0,0,0,0,2.5,1.3,27.19,0,40
d16241y2011,2011,5,2,18,2,36,-97.2608401,34.01144962,250,3,3,6,7,8,10,13,16,19,28,0,0,0,1.8,1.1,26.19,0,36
d16241y2011,2011,5,2,18,32,37,-97.26089339,34.01138545,253,3,3,6,7,8,10,11,13,19,23,28,0,0,1.6,0.7,23.13,130,37
d16241y2011,2011,5,2,19,2,36,-97.26079843,34.01115687,259,3,7,8,11,13,19,23,28,0,0,0,0,0,2.9,1.3,19.56,751,36
d16241y2011,2011,5,2,19,32,40,-97.26070833,34.01185805,251,3,3,7,8,11,13,19,28,0,0,0,0,0,2,1.1,16.88,1233,40
d16241y2011,2011,5,2,20,2,41,-97.25915018,34.01175033,262,3,7,8,11,13,17,19,24,28,0,0,0,0,2.1,1,14.5,2836,41
d16241y2011,2011,5,2,20,32,42,-97.25976494,34.01197635,258,3,7,8,11,17,24,26,0,0,0,0,0,0,2.8,1.4,13.94,3783,42
d16241y2011,2011,5,2,21,2,40,-97.25977184,34.01195661,250,3,7,8,17,24,26,28,0,0,0,0,0,0,3,1.4,18.31,290,40
d16241y2011,2011,5,2,21,32,40,-97.25979982,34.01196512,251,3,4,7,8,11,17,24,28,0,0,0,0,0,2.4,1.4,19.19,0,40
d16241y2011,2011,5,2,22,2,47,-97.25977994,34.01193148,258,3,7,8,11,15,17,20,24,26,28,0,0,0,1.4,0.8,21.5,0,47
d16241y2011,2011,5,2,22,32,40,-97.25979533,34.01197317,255,3,4,15,17,20,24,28,0,0,0,0,0,0,1.7,1.1,19.25,0,40
d16241y2011,2011,5,2,23,2,40,-97.25976867,34.01195296,256,3,4,9,17,20,28,0,0,0,0,0,0,0,2.4,1.4,20.19,0,40
d16241y2011,2011,5,2,23,32,41,-97.26080478,34.01206681,256,3,2,4,9,17,27,28,0,0,0,0,0,0,3.5,1.3,14.38,1140,41
d16241y2011,2011,5,3,0,2,36,-97.26067179,34.01221642,253,3,2,4,10,17,20,27,28,0,0,0,0,0,2.1,1.1,14.13,735,36
d16241y2011,2011,5,3,0,32,36,-97.25977553,34.01198822,252,3,2,4,10,17,20,28,0,0,0,0,0,0,2.6,1.6,16.5,518,36
d16241y2011,2011,5,3,1,2,40,-97.25977869,34.01193957,257,3,2,4,10,17,28,0,0,0,0,0,0,0,4.4,2.5,18.44,0,40
d16241y2011,2011,5,3,1,32,47,-97.25978502,34.01189458,263,3,2,4,9,10,12,0,0,0,0,0,0,0,3.7,1.8,19.63,0,47
d16241y2011,2011,5,3,2,2,37,-97.25975192,34.01192477,264,3,2,4,5,10,25,27,0,0,0,0,0,0,2.5,1.3,17.5,53,37
d16241y2011,2011,5,3,2,32,37,-97.25976467,34.01198987,259,3,2,4,5,10,12,17,0,0,0,0,0,0,3.6,2.1,17.75,79,37
d16241y2011,2011,5,3,3,2,51,-97.25897714,34.01242959,259,3,4,5,10,12,25,0,0,0,0,0,0,0,4.6,2.3,14.5,700,51
d16241y2011,2011,5,3,3,32,37,-97.25900325,34.01237045,258,3,5,10,12,25,29,0,0,0,0,0,0,0,3.8,1.6,13.88,3398,37
d16241y2011,2011,5,3,4,3,3,-97.25901482,34.01249325,263,3,2,5,10,12,21,26,29,0,0,0,0,0,1.9,0.9,14.94,2417,63
d16241y2011,2011,5,3,4,32,41,-97.25899831,34.01250654,240,3,5,12,21,25,26,0,0,0,0,0,0,0,4.3,1.5,17.75,0,41
d16241y2011,2011,5,3,5,2,40,-97.25901487,34.01254374,240,3,12,15,25,26,29,30,0,0,0,0,0,0,2.1,1.2,16.94,0,40
d16241y2011,2011,5,3,5,32,40,-97.25896477,34.01250516,249,3,5,15,21,25,26,29,0,0,0,0,0,0,2.2,1.1,18.25,0,40
d16241y2011,2011,5,3,6,2,53,-97.25832022,34.013313,258,3,15,21,25,26,29,0,0,0,0,0,0,0,2.5,1.5,13.88,884,53
d16241y2011,2011,5,3,6,33,1,-97.25736531,34.01341129,257,3,5,15,21,26,0,0,0,0,0,0,0,0,5.9,4.2,14.19,1208,61
d16241y2011,2011,5,3,7,2,59,-97.25664012,34.01313139,250,3,15,21,22,26,27,0,0,0,0,0,0,0,2.4,1.5,20.5,738,59
d16241y2011,2011,5,3,7,32,37,-97.25694855,34.01366959,255,3,9,15,21,22,26,27,0,0,0,0,0,0,2.1,1.2,19.94,1389,37
d16241y2011,2011,5,3,8,2,41,-97.25708864,34.01386184,259,3,9,15,21,22,27,0,0,0,0,0,0,0,3.4,1.8,21.19,898,41
d16241y2011,2011,5,3,8,33,4,-97.25738318,34.01391471,268,3,3,6,9,14,21,22,0,0,0,0,0,0,3.4,1.6,28.13,277,64
d16241y2011,2011,5,3,9,2,41,-97.25731001,34.01389203,246,3,9,14,19,21,22,0,0,0,0,0,0,0,3.3,1.5,27.38,2,41
d16241y2011,2011,5,3,9,32,40,-97.25733826,34.01394022,258,3,9,14,19,21,22,0,0,0,0,0,0,0,2.5,1.3,27.13,0,40
d16241y2011,2011,5,3,10,2,47,-97.25744707,34.01391471,247,3,9,14,19,21,22,0,0,0,0,0,0,0,2.1,1.2,26.31,537,47
d16241y2011,2011,5,3,10,33,45,-97.25760025,34.01426135,243,3,9,14,22,31,0,0,0,0,0,0,0,0,4,3.2,25.19,1244,105
d16241y2011,2011,5,3,11,2,41,-97.25807796,34.01499491,246,3,14,22,25,31,0,0,0,0,0,0,0,0,4.9,2.7,26.56,218,41
d16241y2011,2011,5,3,11,34,0,-97.26116868,34.01546157,248,2,14,22,25,31,0,0,0,0,0,0,0,0,0,2,25.94,1009,120
d16241y2011,2011,5,3,12,2,52,-97.26122207,34.01363992,248,3,14,22,24,25,31,32,0,0,0,0,0,0,3.2,1.6,27.38,618,52
d16241y2011,2011,5,3,12,32,40,-97.26111148,34.01253193,248,3,14,22,24,25,30,31,32,0,0,0,0,0,2.5,1,30.38,596,40
d16241y2011,2011,5,3,13,2,40,-97.26139371,34.011223,249,3,14,20,22,23,24,25,31,32,0,0,0,0,1.8,1,29.81,675,40
d16241y2011,2011,5,3,13,32,36,-97.26110462,34.01100971,244,3,16,20,23,30,31,32,0,0,0,0,0,0,3.6,2,31.13,360,36
d16241y2011,2011,5,3,14,2,37,-97.26115616,34.01097798,246,3,16,20,23,30,31,32,0,0,0,0,0,0,3.6,1.5,31.75,0,37
d16241y2011,2011,5,3,14,32,37,-97.26114884,34.01101845,249,3,13,16,20,23,30,31,32,0,0,0,0,0,3,1.7,31.31,4,37
d16241y2011,2011,5,3,15,2,40,-97.26110868,34.01097009,244,3,3,6,13,16,20,23,30,31,32,0,0,0,1.6,0.9,30.19,378,40
d16241y2011,2011,5,3,15,32,37,-97.26110358,34.01095469,254,3,3,6,7,13,16,20,23,30,31,32,0,0,1.5,0.8,29.81,0,37
d16241y2011,2011,5,3,16,2,38,-97.26108141,34.01097962,246,3,3,6,7,13,16,19,20,23,30,31,32,0,1.5,0.8,29.88,0,38
d16241y2011,2011,5,3,16,32,40,-97.26116846,34.01079961,250,3,3,6,7,10,13,16,19,20,23,30,32,0,1.6,0.8,29.06,484,40
d16241y2011,2011,5,3,17,2,37,-97.26119846,34.01081536,249,3,3,6,7,13,16,19,20,23,0,0,0,0,2.1,1,28.5,1,37
d16241y2011,2011,5,3,17,32,37,-97.26086175,34.01107841,249,3,3,6,7,8,10,13,19,23,0,0,0,0,2.5,1.3,27.81,309,37
d16241y2011,2011,5,3,18,2,40,-97.25993324,34.01073344,243,3,3,6,7,8,10,13,19,23,0,0,0,0,2.1,1,27.25,1328,40
d16241y2011,2011,5,3,18,32,46,-97.25990308,34.00987637,241,3,7,8,10,13,19,0,0,0,0,0,0,0,3.5,1.9,27.5,878,46
d16241y2011,2011,5,3,19,2,44,-97.26160959,34.00966335,239,3,3,8,13,19,28,0,0,0,0,0,0,0,3.4,1.2,23.75,710,44
d16241y2011,2011,5,3,19,32,40,-97.26160529,34.01045861,248,3,7,8,13,19,28,0,0,0,0,0,0,0,3.2,1.4,22,1059,40
d16241y2011,2011,5,3,20,2,40,-97.2630213,34.01142995,255,3,7,8,11,13,19,24,28,0,0,0,0,0,2.1,1.1,20.69,1071,40
d16241y2011,2011,5,3,20,32,40,-97.26302197,34.01118469,251,3,7,8,11,17,19,24,26,28,0,0,0,0,2.1,1.1,20.25,1781,40
d16241y2011,2011,5,3,21,2,37,-97.26305132,34.0113384,239,3,7,8,15,17,26,28,0,0,0,0,0,0,2.6,1.7,22.69,65,37
d16241y2011,2011,5,3,21,32,40,-97.26303782,34.01136346,244,3,4,7,8,11,15,17,24,26,27,28,0,0,1.4,0.8,23,6,40
d16241y2011,2011,5,3,22,2,40,-97.26194523,34.01168347,249,3,4,7,8,17,24,26,27,28,0,0,0,0,1.7,0.9,19.75,2032,40
d16241y2011,2011,5,3,22,32,40,-97.26101491,34.01206347,247,3,4,8,15,17,20,24,27,28,0,0,0,0,1.5,0.8,19.88,873,40
d16241y2011,2011,5,3,23,2,36,-97.26102645,34.01213487,251,3,4,9,17,20,24,27,28,0,0,0,0,0,2.3,1.3,19.31,1266,36
d16241y2011,2011,5,3,23,32,41,-97.26096533,34.01215835,252,3,2,4,9,10,17,27,28,0,0,0,0,0,2.3,1.2,21,291,41
d16241y2011,2011,5,4,0,2,40,-97.26095115,34.01216356,249,3,2,4,9,10,17,27,28,0,0,0,0,0,2.7,1.2,22.19,0,40
d16241y2011,2011,5,4,0,32,40,-97.26096368,34.01213308,252,3,2,4,10,12,17,20,27,28,0,0,0,0,1.8,0.9,21.69,88,40
d16241y2011,2011,5,4,1,2,37,-97.26092185,34.01216675,246,3,2,4,9,10,12,17,27,0,0,0,0,0,2.5,1.2,22.38,0,37
d16241y2011,2011,5,4,1,32,37,-97.26094802,34.0121049,252,3,2,4,9,10,12,17,25,0,0,0,0,0,1.8,1.1,22.31,0,37
d16241y2011,2011,5,4,2,2,40,-97.26101374,34.01206796,252,3,2,4,5,9,10,12,17,25,0,0,0,0,1.7,1,20.31,531,40
d16241y2011,2011,5,4,2,32,37,-97.26078337,34.01205478,254,3,2,5,10,12,25,29,0,0,0,0,0,0,3.5,1.7,18.5,1319,37
d16241y2011,2011,5,4,3,2,36,-97.26048655,34.01211371,256,3,2,4,5,10,12,25,29,0,0,0,0,0,3,1.6,16.38,1514,36
d16241y2011,2011,5,4,3,32,40,-97.25873371,34.01178321,252,3,2,4,5,10,12,25,29,0,0,0,0,0,2.3,1.3,16.19,1835,40
d16241y2011,2011,5,4,4,2,36,-97.25799458,34.0111785,263,3,2,5,12,25,29,0,0,0,0,0,0,0,4.6,1.8,16.38,2236,36
d16241y2011,2011,5,4,4,32,37,-97.25799208,34.01119469,262,3,2,5,10,15,18,21,25,26,29,0,0,0,1.5,0.8,18.25,302,37
d16241y2011,2011,5,4,5,2,37,-97.25798667,34.01119462,258,3,2,5,15,18,21,25,26,29,30,0,0,0,1.7,0.8,18.88,0,37
d16241y2011,2011,5,4,5,32,37,-97.25702789,34.01196013,260,3,2,5,15,18,21,25,26,29,0,0,0,0,1.7,1,16.31,1901,37
d16241y2011,2011,5,4,6,2,36,-97.25710341,34.01467541,263,3,5,15,18,21,26,29,30,0,0,0,0,0,2.5,1.5,16.56,1178,36
d16241y2011,2011,5,4,6,33,11,-97.25763039,34.01607155,258,3,15,18,21,26,29,0,0,0,0,0,0,0,4.2,1.4,17.81,1132,71
d16241y2011,2011,5,4,7,2,40,-97.25933957,34.01583967,252,3,3,15,18,21,22,26,29,0,0,0,0,0,1.8,1.1,19.31,793,40
d16241y2011,2011,5,4,7,32,40,-97.25979343,34.01604537,254,3,3,15,18,21,22,26,0,0,0,0,0,0,4.5,3.6,22.69,1116,40
d16241y2011,2011,5,4,8,3,5,-97.26061124,34.01613991,252,3,9,15,18,22,0,0,0,0,0,0,0,0,5,2,23.5,901,65
d16241y2011,2011,5,4,8,33,3,-97.26063806,34.01620521,251,3,6,14,15,18,19,21,22,0,0,0,0,0,2.4,1.3,25.13,99,63
d16241y2011,2011,5,4,9,2,37,-97.2605981,34.01620014,250,3,6,9,14,15,18,19,21,22,0,0,0,0,2,1.1,27.06,0,37
d16241y2011,2011,5,4,9,32,36,-97.26057473,34.01617816,246,3,6,9,14,18,19,22,27,0,0,0,0,0,2.4,1.8,29.75,0,36
d16241y2011,2011,5,4,10,2,40,-97.26054118,34.01622999,239,3,6,9,14,19,21,22,31,0,0,0,0,0,1.8,1,29.06,79,40
d16241y2011,2011,5,4,10,32,41,-97.26052674,34.01619462,243,3,14,19,21,22,31,0,0,0,0,0,0,0,3.1,1.9,29.19,0,41
d16241y2011,2011,5,4,11,2,41,-97.26055814,34.01619506,244,3,11,14,18,22,24,31,0,0,0,0,0,0,2.5,1.4,30.06,6,41
d16241y2011,2011,5,4,11,32,37,-97.26058175,34.01620531,244,3,11,12,14,18,22,24,31,32,0,0,0,0,1.9,1.1,32.69,0,37
d16241y2011,2011,5,4,12,2,37,-97.26066539,34.01640488,251,3,11,14,22,24,25,31,32,0,0,0,0,0,2.7,1.3,32.06,349,37
d16241y2011,2011,5,4,12,32,40,-97.26046335,34.01622348,244,3,11,22,24,25,30,31,32,0,0,0,0,0,2.3,1,29.25,367,40
d16241y2011,2011,5,4,13,2,40,-97.26050038,34.01621318,237,3,14,16,22,24,25,31,0,0,0,0,0,0,2.6,1.1,27.5,554,40
d16241y2011,2011,5,4,13,32,37,-97.26047329,34.0162669,242,3,14,16,20,24,30,31,32,0,0,0,0,0,2.3,1.1,27.94,367,37
d16241y2011,2011,5,4,14,2,37,-97.2611687,34.0162569,240,3,14,20,24,30,31,0,0,0,0,0,0,0,2.4,1.5,29.13,240,37
d16241y2011,2011,5,4,14,32,41,-97.2611913,34.01599842,248,3,16,20,23,24,30,32,0,0,0,0,0,0,3.1,1.9,29.56,393,41
d16241y2011,2011,5,4,15,2,36,-97.26204317,34.01543155,246,3,13,16,20,23,30,31,32,0,0,0,0,0,2.6,1.4,28.81,505,36
d16241y2011,2011,5,4,15,32,37,-97.26184554,34.01551172,237,3,3,6,13,16,20,23,30,32,0,0,0,0,2.4,1.1,29.31,796,37
d16241y2011,2011,5,4,16,2,40,-97.26187051,34.01550847,240,3,3,6,7,13,16,20,23,30,32,0,0,0,2.2,0.9,31.19,177,40
d16241y2011,2011,5,4,16,32,36,-97.26189038,34.01548981,243,3,3,6,7,10,13,16,19,20,23,0,0,0,2.1,1,31.75,2,36
d16241y2011,2011,5,4,17,2,37,-97.26189034,34.01549161,243,3,3,6,7,8,10,13,19,20,23,0,0,0,2,1.1,31.56,0,37
d16241y2011,2011,5,4,17,32,37,-97.26192321,34.01541994,241,3,3,6,7,8,10,13,19,23,0,0,0,0,2.5,1.3,30.31,75,37
